Order_Date,Sales,day_of_week,day_of_month,month,quarter,year,week_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,days_since_start,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,lag_14,lag_21,lag_28,lag_30,rolling_mean_3,rolling_mean_7,rolling_mean_14,rolling_mean_21,rolling_mean_30,rolling_std_7,rolling_std_14,rolling_std_30,rolling_median_7,rolling_min_7,rolling_max_7,rolling_median_14,rolling_min_14,rolling_max_14,ewm_7,ewm_14,diff_1,diff_7,pct_change_1,pct_change_7
2015-02-03,97.11200000000001,1,3,2,1,2015,6,0,0,0,0,0,31,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,211.64600000000002,468.9,290.666,0.0,426.67,0.0,2673.87,3553.795,4407.1,288.06,323.737333333333,234.6157142857143,389.5364285714286,474.4112857142857,495.66016666666667,184.27298464842153,724.2956721043089,1082.547503922308,240.5,0.0,468.9,125.863,0.0,2673.87,285.44387536736247,321.7141282380263,-257.25399999999996,-885.604,-0.5486329707826828,-0.807112326270221
2015-02-04,134.38400000000001,2,4,2,1,2015,6,0,0,0,0,0,32,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,97.11200000000001,211.64600000000002,468.9,240.5,3.928,0.0,0.0,61.96,87.15799999999999,19.536,259.21933333333305,187.536,205.48228571428572,309.8073333333333,489.29523333333333,168.4468875382761,305.45351704874855,1084.370010808236,211.64600000000002,0.0,468.9,68.596,0.0,1097.25,238.36090652552184,291.76717780628945,-114.534,-329.558,-0.5411583493191461,-0.7723955281599362
2015-02-05,0.0,3,5,2,1,2015,6,0,0,0,0,0,33,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,134.38400000000001,97.11200000000001,211.64600000000002,290.666,0.0,1097.25,0.0,149.95,0.0,4407.1,147.71399999999971,206.17257142857144,215.08114285714285,313.25609523809527,493.1235,151.06737371435196,300.57203509791236,1082.8560554408323,211.64600000000002,0.0,468.9,115.74800000000002,0.0,1097.25,212.36667989414138,270.7827540987842,37.272000000000006,130.45600000000002,0.38380426723782857,33.211812627291245
2015-02-08,14.56,6,8,2,1,2015,6,1,0,0,0,0,36,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,180.32,330.512,0.0,97.11200000000001,468.9,0.0,0.0,64.864,9.94,40.544,170.27733333333302,203.26771428571433,248.7062857142857,316.15695238095236,360.34263333333337,155.28478041082258,290.39553215556134,790.3749788933875,180.32,0.0,468.9,195.983,0.0,1097.25,196.6431930803409,238.50470837186043,-150.192,-110.346,-0.45442222975262625,-0.37963160465964374
2015-02-09,0.0,0,9,2,1,2015,7,0,0,0,0,0,37,0.0,1.0,0.8660254037844386,0.5000000000000001,14.56,180.32,330.512,134.38400000000001,211.64600000000002,240.5,1097.25,378.594,0.0,54.83,175.13066666666634,138.362,249.7462857142857,313.7615238095238,359.4765,115.64385424799981,289.46088754080694,790.7516626730476,134.38400000000001,0.0,330.512,195.983,0.0,1097.25,151.12239481025566,208.64541392227906,-165.76,-454.34,-0.9192546583850931,-0.9689486031136703
2015-02-10,0.0,1,10,2,1,2015,7,0,0,0,0,0,38,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.0,14.56,180.32,0.0,97.11200000000001,290.666,426.67,2673.87,3553.795,9.94,64.9599999999997,108.12685714285713,171.3712857142857,295.7332380952381,357.64883333333336,120.84105089941696,163.46078408946423,791.5430417580535,97.11200000000001,0.0,330.512,157.352,0.0,468.9,113.34179610769175,180.82602539930852,-14.56,-211.64600000000002,-1.0,-1.0
2015-02-14,576.726,5,14,2,1,2015,7,1,0,0,0,0,42,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.0,129.568,2043.4,0.0,180.32,134.38400000000001,290.666,0.0,0.0,149.95,724.3226666666665,338.264,278.6477142857143,269.97219047619046,309.22459999999995,755.4293466579118,527.9751586643835,607.3495540488618,14.56,0.0,2043.4,131.976,0.0,2043.4,347.5091776746994,321.6312673862647,-129.568,-330.512,-1.0,-1.0
2015-02-16,9.04,0,16,2,1,2015,8,0,0,0,0,0,44,0.0,1.0,0.8660254037844386,0.5000000000000001,21.36,576.726,0.0,2043.4,0.0,330.512,211.64600000000002,1097.25,378.594,0.0,199.3619999999997,395.86485714285715,267.1134285714286,298.4524761904762,314.16366666666664,755.9075846793766,536.4194462886026,610.9790893743519,21.36,0.0,2043.4,113.34,0.0,2043.4,308.95003744201836,311.0727119479055,-555.366,6.799999999999999,-0.9629633482797724,0.46703296703296693
2015-02-19,0.0,3,19,2,1,2015,8,0,0,0,0,0,47,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,37.784,54.208,9.04,576.726,129.568,0.0,0.0,0.0,0.0,2673.87,33.67733333333303,118.38371428571425,242.677,230.50885714285718,302.7494666666667,206.6405607826566,544.0067960801448,612.8993330941809,37.784,0.0,576.726,29.572,0.0,2043.4,151.2195470458515,214.70405574801435,-16.424,-2005.616,-0.3029811097992916,-0.9815092492903984
2015-02-20,95.59,4,20,2,1,2015,8,0,0,0,0,0,48,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,37.784,54.208,21.36,0.0,0.0,330.512,240.5,40.08,0.0,30.663999999999692,99.87399999999995,242.677,230.50885714285718,213.6204666666667,211.22392425417323,544.0067960801448,420.37944597927645,21.36,0.0,576.726,29.572,0.0,2043.4,113.41466028438862,186.07684831494578,-37.784,-129.568,-1.0,-1.0
